;;;;;;;;;;Ticket Médio por venda;R$ 999,41;;;;
1012;2024-01-27;2024;1;27;98;Cliente_98;Sudeste;Atacado;Produto_74;Equipamentos;3; R$ 100,96 ; R$ 302,88 ;Pix;Cancelada
1013;2024-09-08;2024;9;8;207;Cliente_207;Sudeste;Online;Produto_78;Eletrônicos;7; R$ 385,98 ; R$ 2.701,86 ;Cartão;Cancelada
1014;2024-03-07;2024;3;7;28;Cliente_28;Sudeste;Online;Produto_93;Acessórios;9; R$ 1.545,52 ; R$ 13.909,68 ;Pix;Concluída
1015;2024-02-14;2024;2;14;566;Cliente_566;Norte;Atacado;Produto_31;Eletrônicos;4; R$ 1.176,97 ; R$ 4.707,88 ;Boleto;Concluída
1016;2024-10-06;2024;10;6;913;Cliente_913;Centro-Oeste;Online;Produto_78;Equipamentos;2; R$ 168,26 ; R$ 336,52 ;Boleto;Cancelada
1017;2024-08-02;2024;8;2;315;Cliente_315;Centro-Oeste;Online;Produto_144;Software;1; R$ 273,11 ; R$ 273,11 ;Pix;Pendente
1018;2024-08-02;2024;8;2;241;Cliente_241;Centro-Oeste;Varejo;Produto_43;Acessórios;7; R$ 154,06 ; R$ 1.078,42 ;Pix;Cancelada
1019;2024-10-16;2024;10;16;265;Cliente_265;Norte;Atacado;Produto_102;Equipamentos;5; R$ 109,98 ; R$ 549,90 ;Cartão;Concluída
1020;2024-07-18;2024;7;18;897;Cliente_897;Sul;Online;Produto_53;Serviços;9; R$ 780,62 ; R$ 7.025,58 ;Cartão;Concluída
1021;2024-01-05;2024;1;5;1172;Cliente_1172;Centro-Oeste;Corporativo;Produto_129;Acessórios;4; R$ 1.192,38 ; R$ 4.769,52 ;Pix;Pendente
1022;2024-10-09;2024;10;9;452;Cliente_452;Norte;Atacado;Produto_58;Eletrônicos;5; R$ 1.422,34 ; R$ 7.111,70 ;Boleto;Pendente
1023;2024-05-22;2024;5;22;81;Cliente_81;Nordeste;Online;Produto_14;Serviços;3; R$ 1.885,25 ; R$ 5.655,75 ;Boleto;Cancelada
1024;2024-11-19;2024;11;19;238;Cliente_238;Centro-Oeste;Online;Produto_84;Eletrônicos;1; R$ 1.304,32 ; R$ 1.304,32 ;Pix;Cancelada
1025;2024-05-30;2024;5;30;274;Cliente_274;Sudeste;Varejo;Produto_3;Software;7; R$ 1.798,70 ; R$ 12.590,90 ;Boleto;Cancelada
1026;2024-01-09;2024;1;9;573;Cliente_573;Centro-Oeste;Varejo;Produto_98;Software;3; R$ 526,85 ; R$ 1.580,55 ;Boleto;Pendente
1027;2024-10-24;2024;10;24;452;Cliente_452;Sul;Atacado;Produto_115;Serviços;6; R$ 552,21 ; R$ 3.313,26 ;Transferência;Pendente
1028;2024-04-02;2024;4;2;304;Cliente_304;Sul;Atacado;Produto_46;Serviços;8; R$ 205,51 ; R$ 1.644,08 ;Transferência;Cancelada
1029;2024-03-24;2024;3;24;370;Cliente_370;Nordeste;Corporativo;Produto_49;Eletrônicos;5; R$ 61,67 ; R$ 308,35 ;Boleto;Concluída
1030;2024-11-26;2024;11;26;874;Cliente_874;Sul;Varejo;Produto_135;Serviços;4; R$ 920,95 ; R$ 3.683,80 ;Cartão;Cancelada
1031;2024-02-26;2024;2;26;205;Cliente_205;Norte;Varejo;Produto_34;Serviços;7; R$ 780,30 ; R$ 5.462,10 ;Cartão;Pendente
1032;2024-01-05;2024;1;5;293;Cliente_293;Norte;Online;Produto_22;Serviços;10; R$ 46,72 ; R$ 467,20 ;Boleto;Pendente
1033;2024-06-06;2024;6;6;1153;Cliente_1153;Sudeste;Corporativo;Produto_40;Serviços;8; R$ 1.634,62 ; R$ 13.076,96 ;Cartão;Cancelada
1034;2024-01-23;2024;1;23;548;Cliente_548;Norte;Online;Produto_27;Acessórios;9; R$ 263,69 ; R$ 2.373,21 ;Transferência;Concluída
1035;2024-08-06;2024;8;6;3;Cliente_3;Sul;Atacado;Produto_91;Software;4; R$ 67,52 ; R$ 270,08 ;Boleto;Cancelada
1036;2024-02-26;2024;2;26;788;Cliente_788;Nordeste;Varejo;Produto_73;Software;2; R$ 993,80 ; R$ 1.987,60 ;Cartão;Cancelada
1037;2024-02-13;2024;2;13;684;Cliente_684;Norte;Atacado;Produto_46;Equipamentos;2; R$ 733,78 ; R$ 1.467,56 ;Pix;Cancelada
1038;2024-12-07;2024;12;7;372;Cliente_372;Sudeste;Online;Produto_90;Eletrônicos;7; R$ 317,44 ; R$ 2.222,08 ;Pix;Pendente
1039;2024-12-30;2024;12;30;756;Cliente_756;Norte;Varejo;Produto_39;Serviços;5; R$ 1.625,22 ; R$ 8.126,10 ;Pix;Concluída
1040;2024-09-01;2024;9;1;800;Cliente_800;Norte;Varejo;Produto_148;Equipamentos;8; R$ 1.448,26 ; R$ 11.586,08 ;Pix;Concluída
1041;2024-04-03;2024;4;3;186;Cliente_186;Sul;Online;Produto_82;Equipamentos;6; R$ 1.989,65 ; R$ 11.937,90 ;Transferência;Pendente
1042;2024-06-19;2024;6;19;848;Cliente_848;Nordeste;Atacado;Produto_99;Equipamentos;10; R$ 1.591,13 ; R$ 15.911,30 ;Transferência;Cancelada
1043;2024-04-27;2024;4;27;1094;Cliente_1094;Sul;Varejo;Produto_149;Equipamentos;8; R$ 1.074,30 ; R$ 8.594,40 ;Boleto;Cancelada
1044;2024-04-14;2024;4;14;179;Cliente_179;Norte;Online;Produto_143;Equipamentos;4; R$ 736,18 ; R$ 2.944,72 ;Boleto;Concluída
1045;2024-03-12;2024;3;12;123;Cliente_123;Sudeste;Corporativo;Produto_37;Acessórios;6; R$ 734,50 ; R$ 4.407,00 ;Transferência;Concluída
1046;2024-03-11;2024;3;11;432;Cliente_432;Norte;Atacado;Produto_97;Eletrônicos;4; R$ 130,61 ; R$ 522,44 ;Transferência;Pendente
1047;2024-02-07;2024;2;7;111;Cliente_111;Sul;Atacado;Produto_8;Serviços;2; R$ 1.332,24 ; R$ 2.664,48 ;Pix;Concluída
1048;2024-10-18;2024;10;18;162;Cliente_162;Sul;Atacado;Produto_47;Equipamentos;4; R$ 172,59 ; R$ 690,36 ;Boleto;Cancelada
1049;2024-06-21;2024;6;21;1081;Cliente_1081;Sul;Varejo;Produto_74;Eletrônicos;5; R$ 950,97 ; R$ 4.754,85 ;Boleto;Concluída
1050;2024-09-14;2024;9;14;66;Cliente_66;Nordeste;Varejo;Produto_102;Equipamentos;10; R$ 1.507,24 ; R$ 15.072,40 ;Transferência;Cancelada
1051;2024-12-29;2024;12;29;529;Cliente_529;Nordeste;Corporativo;Produto_41;Software;10; R$ 1.013,71 ; R$ 10.137,10 ;Cartão;Cancelada
1052;2024-07-24;2024;7;24;774;Cliente_774;Centro-Oeste;Varejo;Produto_57;Equipamentos;3; R$ 1.491,41 ; R$ 4.474,23 ;Boleto;Cancelada
1053;2024-12-20;2024;12;20;1146;Cliente_1146;Sul;Corporativo;Produto_81;Equipamentos;10; R$ 1.686,59 ; R$ 16.865,90 ;Transferência;Concluída
1054;2024-04-09;2024;4;9;112;Cliente_112;Sudeste;Varejo;Produto_27;Eletrônicos;6; R$ 1.300,36 ; R$ 7.802,16 ;Pix;Cancelada
1055;2024-03-24;2024;3;24;688;Cliente_688;Centro-Oeste;Varejo;Produto_17;Serviços;1; R$ 494,27 ; R$ 494,27 ;Cartão;Pendente
1056;2024-01-17;2024;1;17;385;Cliente_385;Nordeste;Online;Produto_22;Acessórios;9; R$ 419,42 ; R$ 3.774,78 ;Cartão;Cancelada
1057;2024-02-17;2024;2;17;991;Cliente_991;Sudeste;Varejo;Produto_92;Software;1; R$ 115,14 ; R$ 115,14 ;Transferência;Cancelada
1058;2024-07-01;2024;7;1;400;Cliente_400;Nordeste;Varejo;Produto_85;Equipamentos;6; R$ 1.508,65 ; R$ 9.051,90 ;Cartão;Cancelada
1059;2024-07-14;2024;7;14;308;Cliente_308;Sul;Varejo;Produto_75;Serviços;1; R$ 1.182,61 ; R$ 1.182,61 ;Boleto;Cancelada
1060;2024-02-17;2024;2;17;949;Cliente_949;Nordeste;Atacado;Produto_37;Serviços;2; R$ 1.772,70 ; R$ 3.545,40 ;Pix;Pendente
1061;2024-11-15;2024;11;15;269;Cliente_269;Sul;Varejo;Produto_100;Serviços;6; R$ 595,87 ; R$ 3.575,22 ;Boleto;Cancelada
1062;2024-09-11;2024;9;11;154;Cliente_154;Norte;Varejo;Produto_37;Software;3; R$ 1.142,46 ; R$ 3.427,38 ;Cartão;Pendente
1063;2024-05-31;2024;5;31;193;Cliente_193;Nordeste;Varejo;Produto_72;Acessórios;8; R$ 641,16 ; R$ 5.129,28 ;Pix;Pendente
1064;2024-08-23;2024;8;23;183;Cliente_183;Sudeste;Corporativo;Produto_66;Equipamentos;2; R$ 374,79 ; R$ 749,58 ;Boleto;Concluída
1065;2024-05-26;2024;5;26;1165;Cliente_1165;Sul;Corporativo;Produto_34;Equipamentos;8; R$ 98,39 ; R$ 787,12 ;Pix;Cancelada
1066;2024-07-30;2024;7;30;643;Cliente_643;Centro-Oeste;Corporativo;Produto_68;Eletrônicos;6; R$ 185,31 ; R$ 1.111,86 ;Cartão;Cancelada
1067;2024-02-23;2024;2;23;502;Cliente_502;Sudeste;Corporativo;Produto_41;Acessórios;9; R$ 35,73 ; R$ 321,57 ;Transferência;Concluída
1068;2024-12-08;2024;12;8;457;Cliente_457;Norte;Online;Produto_120;Equipamentos;7; R$ 1.750,83 ; R$ 12.255,81 ;Transferência;Concluída
1069;2024-07-22;2024;7;22;176;Cliente_176;Sul;Atacado;Produto_103;Software;3; R$ 1.468,92 ; R$ 4.406,76 ;Cartão;Pendente
1070;2024-12-25;2024;12;25;702;Cliente_702;Sul;Varejo;Produto_72;Equipamentos;10; R$ 982,86 ; R$ 9.828,60 ;Cartão;Cancelada
1071;2024-04-19;2024;4;19;319;Cliente_319;Sudeste;Varejo;Produto_98;Eletrônicos;8; R$ 308,12 ; R$ 2.464,96 ;Pix;Pendente
1072;2024-01-12;2024;1;12;970;Cliente_970;Sul;Online;Produto_65;Serviços;4; R$ 127,07 ; R$ 508,28 ;Cartão;Concluída
1073;2024-06-01;2024;6;1;142;Cliente_142;Sul;Corporativo;Produto_135;Serviços;5; R$ 822,04 ; R$ 4.110,20 ;Pix;Concluída
1074;2024-08-07;2024;8;7;111;Cliente_111;Sudeste;Online;Produto_43;Serviços;2; R$ 1.792,01 ; R$ 3.584,02 ;Pix;Pendente
1075;2024-03-23;2024;3;23;987;Cliente_987;Sul;Online;Produto_147;Equipamentos;8; R$ 1.080,30 ; R$ 8.642,40 ;Cartão;Cancelada
1076;2024-10-23;2024;10;23;407;Cliente_407;Centro-Oeste;Atacado;Produto_83;Software;2; R$ 1.450,99 ; R$ 2.901,98 ;Cartão;Concluída
1077;2024-06-11;2024;6;11;940;Cliente_940;Norte;Corporativo;Produto_68;Acessórios;3; R$ 1.008,90 ; R$ 3.026,70 ;Cartão;Pendente
1078;2024-10-23;2024;10;23;258;Cliente_258;Norte;Varejo;Produto_56;Serviços;8; R$ 1.285,05 ; R$ 10.280,40 ;Transferência;Cancelada
1079;2024-04-20;2024;4;20;1119;Cliente_1119;Sudeste;Atacado;Produto_49;Acessórios;3; R$ 1.209,87 ; R$ 3.629,61 ;Cartão;Pendente
1080;2024-06-06;2024;6;6;746;Cliente_746;Centro-Oeste;Varejo;Produto_128;Equipamentos;1; R$ 617,85 ; R$ 617,85 ;Transferência;Pendente
1081;2024-08-06;2024;8;6;721;Cliente_721;Centro-Oeste;Online;Produto_30;Serviços;6; R$ 1.659,81 ; R$ 9.958,86 ;Transferência;Pendente
1082;2024-03-24;2024;3;24;765;Cliente_765;Centro-Oeste;Corporativo;Produto_98;Software;3; R$ 1.114,45 ; R$ 3.343,35 ;Transferência;Cancelada
1083;2024-02-20;2024;2;20;581;Cliente_581;Norte;Varejo;Produto_23;Eletrônicos;10; R$ 1.877,05 ; R$ 18.770,50 ;Transferência;Concluída
1084;2024-02-21;2024;2;21;1017;Cliente_1017;Sul;Varejo;Produto_75;Equipamentos;10; R$ 1.855,91 ; R$ 18.559,10 ;Boleto;Concluída
1085;2024-04-10;2024;4;10;932;Cliente_932;Sul;Varejo;Produto_90;Equipamentos;9; R$ 774,54 ; R$ 6.970,86 ;Transferência;Cancelada
1086;2024-04-24;2024;4;24;811;Cliente_811;Centro-Oeste;Online;Produto_69;Software;1; R$ 1.880,44 ; R$ 1.880,44 ;Pix;Pendente
1087;2024-07-31;2024;7;31;495;Cliente_495;Norte;Varejo;Produto_7;Serviços;1; R$ 1.802,37 ; R$ 1.802,37 ;Pix;Cancelada
1088;2024-10-19;2024;10;19;651;Cliente_651;Sul;Atacado;Produto_143;Equipamentos;6; R$ 357,41 ; R$ 2.144,46 ;Boleto;Cancelada
1089;2024-10-22;2024;10;22;806;Cliente_806;Sul;Atacado;Produto_100;Serviços;1; R$ 1.606,64 ; R$ 1.606,64 ;Transferência;Pendente
1090;2024-02-20;2024;2;20;1060;Cliente_1060;Nordeste;Varejo;Produto_148;Equipamentos;3; R$ 886,06 ; R$ 2.658,18 ;Pix;Cancelada
1091;2024-02-17;2024;2;17;326;Cliente_326;Norte;Corporativo;Produto_3;Acessórios;6; R$ 423,45 ; R$ 2.540,70 ;Boleto;Concluída
1092;2024-01-13;2024;1;13;1114;Cliente_1114;Nordeste;Corporativo;Produto_92;Serviços;2; R$ 1.152,15 ; R$ 2.304,30 ;Boleto;Cancelada
1093;2024-05-05;2024;5;5;455;Cliente_455;Sul;Online;Produto_14;Software;5; R$ 403,78 ; R$ 2.018,90 ;Cartão;Concluída
1094;2024-02-26;2024;2;26;48;Cliente_48;Sul;Varejo;Produto_28;Serviços;10; R$ 1.736,54 ; R$ 17.365,40 ;Pix;Pendente
1095;2024-07-04;2024;7;4;370;Cliente_370;Nordeste;Corporativo;Produto_26;Equipamentos;2; R$ 173,22 ; R$ 346,44 ;Cartão;Pendente
1096;2024-02-09;2024;2;9;151;Cliente_151;Nordeste;Corporativo;Produto_97;Software;8; R$ 1.919,25 ; R$ 15.354,00 ;Transferência;Concluída
1097;2024-04-01;2024;4;1;369;Cliente_369;Centro-Oeste;Varejo;Produto_31;Software;5; R$ 40,08 ; R$ 200,40 ;Pix;Pendente
1098;2024-05-10;2024;5;10;1120;Cliente_1120;Norte;Atacado;Produto_8;Acessórios;1; R$ 333,61 ; R$ 333,61 ;Cartão;Cancelada
1099;2024-07-05;2024;7;5;1049;Cliente_1049;Norte;Atacado;Produto_8;Software;3; R$ 448,29 ; R$ 1.344,87 ;Boleto;Concluída
1100;2024-09-03;2024;9;3;171;Cliente_171;Nordeste;Varejo;Produto_90;Acessórios;3; R$ 549,83 ; R$ 1.649,49 ;Pix;Pendente
1101;2024-07-23;2024;7;23;1016;Cliente_1016;Nordeste;Online;Produto_45;Serviços;7; R$ 1.035,06 ; R$ 7.245,42 ;Pix;Pendente
1102;2024-10-27;2024;10;27;211;Cliente_211;Sudeste;Atacado;Produto_53;Equipamentos;10; R$ 1.590,44 ; R$ 15.904,40 ;Transferência;Pendente
1103;2024-06-12;2024;6;12;868;Cliente_868;Centro-Oeste;Varejo;Produto_99;Equipamentos;10; R$ 1.499,22 ; R$ 14.992,20 ;Boleto;Cancelada
1104;2024-02-02;2024;2;2;723;Cliente_723;Sul;Atacado;Produto_9;Acessórios;6; R$ 1.797,83 ; R$ 10.786,98 ;Pix;Cancelada
1105;2024-11-26;2024;11;26;840;Cliente_840;Centro-Oeste;Online;Produto_102;Eletrônicos;5; R$ 1.215,69 ; R$ 6.078,45 ;Cartão;Concluída
1106;2024-07-02;2024;7;2;661;Cliente_661;Nordeste;Varejo;Produto_56;Software;7; R$ 1.585,97 ; R$ 11.101,79 ;Pix;Concluída
1107;2024-12-18;2024;12;18;644;Cliente_644;Norte;Online;Produto_55;Equipamentos;2; R$ 39,07 ; R$ 78,14 ;Pix;Concluída
1108;2024-11-04;2024;11;4;1151;Cliente_1151;Nordeste;Atacado;Produto_27;Acessórios;2; R$ 783,47 ; R$ 1.566,94 ;Pix;Cancelada
1109;2024-08-03;2024;8;3;154;Cliente_154;Sul;Online;Produto_82;Serviços;10; R$ 1.787,47 ; R$ 17.874,70 ;Boleto;Concluída
1110;2024-05-20;2024;5;20;1012;Cliente_1012;Sul;Varejo;Produto_32;Equipamentos;8; R$ 112,65 ; R$ 901,20 ;Boleto;Cancelada
1111;2024-10-22;2024;10;22;670;Cliente_670;Norte;Online;Produto_5;Acessórios;10; R$ 778,06 ; R$ 7.780,60 ;Cartão;Pendente
1112;2024-07-25;2024;7;25;583;Cliente_583;Norte;Varejo;Produto_87;Eletrônicos;3; R$ 1.686,45 ; R$ 5.059,35 ;Cartão;Pendente
1113;2024-05-20;2024;5;20;195;Cliente_195;Sudeste;Online;Produto_103;Eletrônicos;7; R$ 1.452,04 ; R$ 10.164,28 ;Pix;Pendente
1114;2024-08-20;2024;8;20;97;Cliente_97;Sul;Varejo;Produto_96;Acessórios;7; R$ 610,92 ; R$ 4.276,44 ;Cartão;Concluída
1115;2024-03-12;2024;3;12;459;Cliente_459;Norte;Online;Produto_112;Serviços;1; R$ 1.654,40 ; R$ 1.654,40 ;Boleto;Concluída
1116;2024-10-02;2024;10;2;392;Cliente_392;Norte;Varejo;Produto_67;Eletrônicos;6; R$ 1.635,97 ; R$ 9.815,82 ;Cartão;Concluída
1117;2024-12-18;2024;12;18;624;Cliente_624;Centro-Oeste;Corporativo;Produto_70;Serviços;2; R$ 542,18 ; R$ 1.084,36 ;Boleto;Cancelada
1118;2024-03-16;2024;3;16;944;Cliente_944;Centro-Oeste;Corporativo;Produto_115;Eletrônicos;2; R$ 270,05 ; R$ 540,10 ;Boleto;Cancelada
1119;2024-06-13;2024;6;13;979;Cliente_979;Sul;Atacado;Produto_24;Software;8; R$ 1.953,17 ; R$ 15.625,36 ;Pix;Cancelada
1120;2024-05-04;2024;5;4;170;Cliente_170;Nordeste;Varejo;Produto_20;Equipamentos;6; R$ 1.125,86 ; R$ 6.755,16 ;Cartão;Concluída
1121;2024-07-16;2024;7;16;27;Cliente_27;Nordeste;Corporativo;Produto_27;Software;4; R$ 946,94 ; R$ 3.787,76 ;Boleto;Cancelada
1122;2024-06-08;2024;6;8;1081;Cliente_1081;Sul;Atacado;Produto_130;Eletrônicos;9; R$ 1.719,75 ; R$ 15.477,75 ;Boleto;Concluída
1123;2024-11-13;2024;11;13;745;Cliente_745;Centro-Oeste;Atacado;Produto_103;Serviços;7; R$ 1.950,63 ; R$ 13.654,41 ;Cartão;Pendente
1124;2024-10-22;2024;10;22;867;Cliente_867;Norte;Atacado;Produto_119;Eletrônicos;3; R$ 1.378,81 ; R$ 4.136,43 ;Cartão;Concluída
1125;2024-01-15;2024;1;15;34;Cliente_34;Sul;Corporativo;Produto_91;Software;8; R$ 390,32 ; R$ 3.122,56 ;Cartão;Cancelada
1126;2024-03-18;2024;3;18;173;Cliente_173;Sul;Corporativo;Produto_131;Software;6; R$ 874,32 ; R$ 5.245,92 ;Cartão;Pendente
1127;2024-11-28;2024;11;28;559;Cliente_559;Sul;Corporativo;Produto_50;Software;6; R$ 213,67 ; R$ 1.282,02 ;Boleto;Pendente
1128;2024-11-07;2024;11;7;362;Cliente_362;Sul;Corporativo;Produto_28;Eletrônicos;10; R$ 566,33 ; R$ 5.663,30 ;Boleto;Concluída
1129;2024-01-19;2024;1;19;450;Cliente_450;Centro-Oeste;Online;Produto_62;Eletrônicos;2; R$ 125,21 ; R$ 250,42 ;Cartão;Pendente
1130;2024-07-26;2024;7;26;464;Cliente_464;Sul;Corporativo;Produto_26;Serviços;10; R$ 1.405,03 ; R$ 14.050,30 ;Pix;Pendente
1131;2024-06-26;2024;6;26;422;Cliente_422;Sudeste;Online;Produto_1;Eletrônicos;3; R$ 1.575,74 ; R$ 4.727,22 ;Boleto;Cancelada
1132;2024-12-18;2024;12;18;977;Cliente_977;Nordeste;Atacado;Produto_81;Eletrônicos;5; R$ 1.708,08 ; R$ 8.540,40 ;Boleto;Concluída
1133;2024-01-07;2024;1;7;681;Cliente_681;Sul;Corporativo;Produto_86;Eletrônicos;8; R$ 300,83 ; R$ 2.406,64 ;Boleto;Pendente
1134;2024-01-05;2024;1;5;158;Cliente_158;Centro-Oeste;Online;Produto_122;Acessórios;3; R$ 1.364,82 ; R$ 4.094,46 ;Cartão;Pendente
1135;2024-01-09;2024;1;9;507;Cliente_507;Centro-Oeste;Online;Produto_59;Acessórios;8; R$ 236,58 ; R$ 1.892,64 ;Boleto;Concluída
1136;2024-06-20;2024;6;20;193;Cliente_193;Sul;Corporativo;Produto_90;Acessórios;2; R$ 623,11 ; R$ 1.246,22 ;Pix;Cancelada
1137;2024-01-07;2024;1;7;997;Cliente_997;Sudeste;Online;Produto_86;Acessórios;5; R$ 741,29 ; R$ 3.706,45 ;Transferência;Concluída
1138;2024-01-11;2024;1;11;553;Cliente_553;Nordeste;Corporativo;Produto_57;Serviços;9; R$ 1.461,87 ; R$ 13.156,83 ;Pix;Pendente
1139;2024-12-22;2024;12;22;64;Cliente_64;Sul;Online;Produto_53;Eletrônicos;4; R$ 1.163,62 ; R$ 4.654,48 ;Boleto;Pendente
1140;2024-12-13;2024;12;13;222;Cliente_222;Centro-Oeste;Corporativo;Produto_135;Serviços;5; R$ 1.756,75 ; R$ 8.783,75 ;Pix;Cancelada
1141;2024-08-01;2024;8;1;715;Cliente_715;Sudeste;Online;Produto_49;Eletrônicos;6; R$ 794,23 ; R$ 4.765,38 ;Pix;Cancelada
1142;2024-10-17;2024;10;17;252;Cliente_252;Sudeste;Online;Produto_29;Eletrônicos;7; R$ 1.594,76 ; R$ 11.163,32 ;Transferência;Cancelada
1143;2024-09-24;2024;9;24;302;Cliente_302;Sudeste;Atacado;Produto_78;Equipamentos;8; R$ 1.368,23 ; R$ 10.945,84 ;Pix;Concluída
1144;2024-04-21;2024;4;21;604;Cliente_604;Sudeste;Varejo;Produto_14;Equipamentos;1; R$ 918,64 ; R$ 918,64 ;Pix;Concluída
1145;2024-01-01;2024;1;1;882;Cliente_882;Norte;Online;Produto_36;Software;6; R$ 1.327,30 ; R$ 7.963,80 ;Pix;Cancelada
1146;2024-12-31;2024;12;31;1149;Cliente_1149;Sudeste;Atacado;Produto_51;Equipamentos;3; R$ 1.908,30 ; R$ 5.724,90 ;Cartão;Pendente
1147;2024-06-30;2024;6;30;449;Cliente_449;Nordeste;Corporativo;Produto_109;Equipamentos;1; R$ 956,89 ; R$ 956,89 ;Cartão;Pendente
1148;2024-10-15;2024;10;15;619;Cliente_619;Sul;Online;Produto_149;Serviços;10; R$ 635,26 ; R$ 6.352,60 ;Boleto;Pendente
1149;2024-06-03;2024;6;3;278;Cliente_278;Sudeste;Varejo;Produto_77;Acessórios;7; R$ 1.117,48 ; R$ 7.822,36 ;Transferência;Cancelada
1150;2024-08-11;2024;8;11;376;Cliente_376;Norte;Atacado;Produto_135;Equipamentos;7; R$ 1.569,16 ; R$ 10.984,12 ;Pix;Cancelada
1151;2024-08-26;2024;8;26;733;Cliente_733;Sul;Corporativo;Produto_119;Eletrônicos;8; R$ 721,30 ; R$ 5.770,40 ;Cartão;Pendente
1152;2024-06-03;2024;6;3;182;Cliente_182;Nordeste;Online;Produto_33;Acessórios;3; R$ 1.238,11 ; R$ 3.714,33 ;Pix;Concluída
1153;2024-01-04;2024;1;4;805;Cliente_805;Sul;Corporativo;Produto_14;Eletrônicos;3; R$ 817,83 ; R$ 2.453,49 ;Cartão;Pendente
1154;2024-05-28;2024;5;28;220;Cliente_220;Centro-Oeste;Corporativo;Produto_85;Eletrônicos;6; R$ 1.196,79 ; R$ 7.180,74 ;Cartão;Cancelada
1155;2024-01-28;2024;1;28;1198;Cliente_1198;Nordeste;Atacado;Produto_144;Equipamentos;9; R$ 1.483,94 ; R$ 13.355,46 ;Boleto;Concluída
1156;2024-01-04;2024;1;4;317;Cliente_317;Sul;Atacado;Produto_30;Eletrônicos;5; R$ 1.263,91 ; R$ 6.319,55 ;Cartão;Concluída
1157;2024-04-14;2024;4;14;248;Cliente_248;Norte;Corporativo;Produto_7;Acessórios;9; R$ 211,79 ; R$ 1.906,11 ;Transferência;Pendente
1158;2024-09-04;2024;9;4;114;Cliente_114;Nordeste;Atacado;Produto_140;Software;2; R$ 613,85 ; R$ 1.227,70 ;Transferência;Cancelada
1159;2024-01-12;2024;1;12;253;Cliente_253;Nordeste;Atacado;Produto_62;Serviços;7; R$ 309,57 ; R$ 2.166,99 ;Boleto;Pendente
1160;2024-02-21;2024;2;21;984;Cliente_984;Centro-Oeste;Corporativo;Produto_95;Software;5; R$ 593,11 ; R$ 2.965,55 ;Transferência;Pendente
1161;2024-08-05;2024;8;5;220;Cliente_220;Nordeste;Varejo;Produto_73;Equipamentos;8; R$ 845,46 ; R$ 6.763,68 ;Cartão;Cancelada
1162;2024-01-18;2024;1;18;798;Cliente_798;Centro-Oeste;Corporativo;Produto_11;Software;1; R$ 1.169,47 ; R$ 1.169,47 ;Boleto;Pendente
1163;2024-03-22;2024;3;22;939;Cliente_939;Sudeste;Atacado;Produto_90;Acessórios;5; R$ 38,06 ; R$ 190,30 ;Transferência;Cancelada
1164;2024-06-29;2024;6;29;129;Cliente_129;Centro-Oeste;Online;Produto_118;Serviços;3; R$ 1.318,72 ; R$ 3.956,16 ;Pix;Cancelada
1165;2024-11-26;2024;11;26;621;Cliente_621;Sul;Corporativo;Produto_121;Acessórios;7; R$ 155,06 ; R$ 1.085,42 ;Boleto;Cancelada
1166;2024-12-23;2024;12;23;1039;Cliente_1039;Sudeste;Online;Produto_150;Acessórios;9; R$ 533,27 ; R$ 4.799,43 ;Transferência;Concluída
1167;2024-03-22;2024;3;22;93;Cliente_93;Nordeste;Varejo;Produto_28;Equipamentos;1; R$ 1.707,02 ; R$ 1.707,02 ;Transferência;Pendente
1168;2024-03-30;2024;3;30;475;Cliente_475;Sul;Corporativo;Produto_17;Eletrônicos;4; R$ 228,75 ; R$ 915,00 ;Pix;Concluída
1169;2024-07-10;2024;7;10;77;Cliente_77;Centro-Oeste;Varejo;Produto_45;Software;2; R$ 894,23 ; R$ 1.788,46 ;Cartão;Cancelada
1170;2024-11-22;2024;11;22;921;Cliente_921;Centro-Oeste;Atacado;Produto_51;Software;7; R$ 283,77 ; R$ 1.986,39 ;Transferência;Pendente
1171;2024-03-23;2024;3;23;586;Cliente_586;Sul;Atacado;Produto_23;Acessórios;4; R$ 418,36 ; R$ 1.673,44 ;Cartão;Cancelada
1172;2024-03-12;2024;3;12;198;Cliente_198;Norte;Online;Produto_105;Acessórios;4; R$ 85,81 ; R$ 343,24 ;Cartão;Pendente
1173;2024-04-16;2024;4;16;380;Cliente_380;Centro-Oeste;Corporativo;Produto_129;Software;9; R$ 1.002,43 ; R$ 9.021,87 ;Pix;Cancelada
1174;2024-08-12;2024;8;12;1145;Cliente_1145;Sul;Corporativo;Produto_19;Acessórios;3; R$ 1.607,16 ; R$ 4.821,48 ;Cartão;Concluída
1175;2024-09-12;2024;9;12;1060;Cliente_1060;Nordeste;Varejo;Produto_139;Software;5; R$ 219,81 ; R$ 1.099,05 ;Cartão;Concluída
1176;2024-07-02;2024;7;2;594;Cliente_594;Norte;Atacado;Produto_74;Eletrônicos;5; R$ 793,04 ; R$ 3.965,20 ;Boleto;Cancelada
1177;2024-01-30;2024;1;30;1025;Cliente_1025;Centro-Oeste;Varejo;Produto_150;Equipamentos;5; R$ 810,45 ; R$ 4.052,25 ;Pix;Cancelada
1178;2024-05-13;2024;5;13;62;Cliente_62;Nordeste;Online;Produto_16;Serviços;1; R$ 689,33 ; R$ 689,33 ;Boleto;Cancelada
